id,device_id,start_time,resolution,implemented_rate,requested_rate,metered_lane_volume,readings
407909288,10034,2022-01-02 20:00:00-08,01:00:00,700,700,92,181
407910068,10034,2022-01-02 21:00:00-08,01:00:00,700,700,90,181
407911271,10034,2022-01-02 22:00:00-08,01:00:00,700,700,60,175
407912108,10034,2022-01-02 23:00:00-08,01:00:00,700,700,42,173
407912867,10034,2022-01-03 00:00:00-08,01:00:00,7,7,23,181
407913603,10034,2022-01-03 01:00:00-08,01:00:00,0,0,18,178
407914181,10034,2022-01-03 02:00:00-08,01:00:00,0,0,22,174
407915413,10034,2022-01-03 03:00:00-08,01:00:00,0,0,12,174
407916027,10034,2022-01-03 04:00:00-08,01:00:00,0,0,16,180
407916721,10034,2022-01-03 05:00:00-08,01:00:00,0,0,28,178
407917441,10034,2022-01-03 06:00:00-08,01:00:00,688,688,83,180
407918173,10034,2022-01-03 07:00:00-08,01:00:00,700,700,145,181
407919262,10034,2022-01-03 08:00:00-08,01:00:00,700,700,178,181
407919906,10034,2022-01-03 09:00:00-08,01:00:00,696,696,155,181
407920616,10034,2022-01-03 10:00:00-08,01:00:00,7,7,191,181
407921376,10034,2022-01-03 11:00:00-08,01:00:00,0,0,222,181
407922277,10034,2022-01-03 12:00:00-08,01:00:00,0,0,266,181
407923070,10034,2022-01-03 13:00:00-08,01:00:00,688,688,309,181
407923946,10034,2022-01-03 14:00:00-08,01:00:00,700,700,304,181
407925590,10034,2022-01-03 15:00:00-08,01:00:00,700,700,333,181
407926586,10034,2022-01-03 16:00:00-08,01:00:00,700,700,400,181
407927191,10034,2022-01-03 17:00:00-08,01:00:00,700,700,387,181
407927875,10034,2022-01-03 18:00:00-08,01:00:00,700,700,201,181
407928684,10034,2022-01-03 19:00:00-08,01:00:00,7,7,142,179
407929929,10034,2022-01-03 20:00:00-08,01:00:00,0,0,93,166
407930599,10034,2022-01-03 21:00:00-08,01:00:00,0,0,139,181
407931285,10034,2022-01-03 22:00:00-08,01:00:00,0,0,65,181
407932114,10034,2022-01-03 23:00:00-08,01:00:00,0,0,41,180
407932675,10034,2022-01-04 00:00:00-08,01:00:00,0,0,22,157
407933358,10034,2022-01-04 01:00:00-08,01:00:00,0,0,14,175
407934505,10034,2022-01-04 02:00:00-08,01:00:00,0,0,13,163
407935280,10034,2022-01-04 03:00:00-08,01:00:00,0,0,9,162
407935983,10034,2022-01-04 04:00:00-08,01:00:00,0,0,16,181
407936808,10034,2022-01-04 05:00:00-08,01:00:00,0,0,28,181
407937889,10034,2022-01-04 06:00:00-08,01:00:00,688,688,100,181
407938425,10034,2022-01-04 07:00:00-08,01:00:00,700,700,200,181
407939428,10034,2022-01-04 08:00:00-08,01:00:00,700,700,222,181
407940254,10034,2022-01-04 09:00:00-08,01:00:00,700,700,200,181
407941609,10034,2022-01-04 10:00:00-08,01:00:00,7,7,193,181
407942162,10034,2022-01-04 11:00:00-08,01:00:00,0,0,238,180
407942773,10034,2022-01-04 12:00:00-08,01:00:00,0,0,300,181
407943371,10034,2022-01-04 13:00:00-08,01:00:00,688,688,312,181
407944455,10034,2022-01-04 14:00:00-08,01:00:00,700,700,297,181
407945405,10034,2022-01-04 15:00:00-08,01:00:00,700,700,388,181
407946317,10034,2022-01-04 16:00:00-08,01:00:00,700,700,416,181
407946787,10034,2022-01-04 17:00:00-08,01:00:00,700,700,424,181
407947395,10034,2022-01-04 18:00:00-08,01:00:00,700,700,268,181
407948247,10034,2022-01-04 19:00:00-08,01:00:00,7,7,176,181
407948970,10034,2022-01-04 20:00:00-08,01:00:00,0,0,124,181
407950056,10034,2022-01-04 21:00:00-08,01:00:00,0,0,238,181
407950640,10034,2022-01-04 22:00:00-08,01:00:00,0,0,80,181
407951541,10034,2022-01-04 23:00:00-08,01:00:00,0,0,36,174
407952574,10034,2022-01-05 00:00:00-08,01:00:00,0,0,23,175
407953281,10034,2022-01-05 01:00:00-08,01:00:00,0,0,9,179
407954234,10034,2022-01-05 02:00:00-08,01:00:00,0,0,10,177
407954984,10034,2022-01-05 03:00:00-08,01:00:00,0,0,11,179
407956014,10034,2022-01-05 04:00:00-08,01:00:00,0,0,16,164
407956679,10034,2022-01-05 05:00:00-08,01:00:00,0,0,30,173
407957333,10034,2022-01-05 06:00:00-08,01:00:00,688,688,90,181
407958362,10034,2022-01-05 07:00:00-08,01:00:00,700,700,215,181
407958959,10034,2022-01-05 08:00:00-08,01:00:00,700,700,207,181
407959877,10034,2022-01-05 09:00:00-08,01:00:00,700,700,193,181
407960586,10034,2022-01-05 10:00:00-08,01:00:00,7,7,204,181
407961091,10034,2022-01-05 11:00:00-08,01:00:00,0,0,275,181
407962092,10034,2022-01-05 12:00:00-08,01:00:00,0,0,279,181
407962964,10034,2022-01-05 13:00:00-08,01:00:00,688,688,277,181
407963965,10034,2022-01-05 14:00:00-08,01:00:00,700,700,342,181
407964759,10034,2022-01-05 15:00:00-08,01:00:00,700,700,339,181
407965311,10034,2022-01-05 16:00:00-08,01:00:00,700,700,453,181
407966048,10034,2022-01-05 17:00:00-08,01:00:00,700,700,438,181
407966799,10034,2022-01-05 18:00:00-08,01:00:00,700,700,265,181
407967620,10034,2022-01-05 19:00:00-08,01:00:00,7,7,160,181
407968791,10034,2022-01-05 20:00:00-08,01:00:00,0,0,142,181
407969502,10034,2022-01-05 21:00:00-08,01:00:00,0,0,240,181
407970174,10034,2022-01-05 22:00:00-08,01:00:00,0,0,117,181
407971051,10034,2022-01-05 23:00:00-08,01:00:00,0,0,49,175
407971715,10034,2022-01-06 00:00:00-08,01:00:00,0,0,26,181
407972506,10034,2022-01-06 01:00:00-08,01:00:00,0,0,16,163
407973302,10034,2022-01-06 02:00:00-08,01:00:00,0,0,11,169
407974262,10034,2022-01-06 03:00:00-08,01:00:00,0,0,11,175
407974789,10034,2022-01-06 04:00:00-08,01:00:00,0,0,19,175
407975580,10034,2022-01-06 05:00:00-08,01:00:00,0,0,28,181
407976379,10034,2022-01-06 06:00:00-08,01:00:00,688,688,82,181
407977310,10034,2022-01-06 07:00:00-08,01:00:00,700,700,190,181
407977894,10034,2022-01-06 08:00:00-08,01:00:00,700,700,207,181
407979192,10034,2022-01-06 09:00:00-08,01:00:00,700,700,191,181
407979789,10034,2022-01-06 10:00:00-08,01:00:00,7,7,191,181
407980477,10034,2022-01-06 11:00:00-08,01:00:00,0,0,254,181
407981275,10034,2022-01-06 12:00:00-08,01:00:00,0,0,282,181
407982327,10034,2022-01-06 13:00:00-08,01:00:00,688,688,353,181
407983095,10034,2022-01-06 14:00:00-08,01:00:00,700,700,348,181
407983994,10034,2022-01-06 15:00:00-08,01:00:00,700,700,401,181
407984582,10034,2022-01-06 16:00:00-08,01:00:00,700,700,371,181
407985475,10034,2022-01-06 17:00:00-08,01:00:00,700,700,463,181
407986201,10034,2022-01-06 18:00:00-08,01:00:00,700,700,278,181
407987128,10034,2022-01-06 19:00:00-08,01:00:00,7,7,163,181
407987927,10034,2022-01-06 20:00:00-08,01:00:00,0,0,149,181
407988941,10034,2022-01-06 21:00:00-08,01:00:00,0,0,219,181
407989639,10034,2022-01-06 22:00:00-08,01:00:00,0,0,64,181
407990558,10034,2022-01-06 23:00:00-08,01:00:00,0,0,66,181
407991236,10034,2022-01-07 00:00:00-08,01:00:00,0,0,19,175
407991942,10034,2022-01-07 01:00:00-08,01:00:00,0,0,14,181
407992830,10034,2022-01-07 02:00:00-08,01:00:00,0,0,15,181
407993832,10034,2022-01-07 03:00:00-08,01:00:00,0,0,10,169
407994754,10034,2022-01-07 04:00:00-08,01:00:00,0,0,23,168
407995257,10034,2022-01-07 05:00:00-08,01:00:00,0,0,46,181
407996258,10034,2022-01-07 06:00:00-08,01:00:00,688,688,70,181
407996889,10034,2022-01-07 07:00:00-08,01:00:00,700,700,183,181
407997872,10034,2022-01-07 08:00:00-08,01:00:00,700,700,184,181
407998628,10034,2022-01-07 09:00:00-08,01:00:00,700,700,182,181
407999614,10034,2022-01-07 10:00:00-08,01:00:00,7,7,201,181
408000131,10034,2022-01-07 11:00:00-08,01:00:00,0,0,274,181
408001053,10034,2022-01-07 12:00:00-08,01:00:00,0,0,334,181
408001861,10034,2022-01-07 13:00:00-08,01:00:00,688,688,333,180
408002528,10034,2022-01-07 14:00:00-08,01:00:00,700,700,352,179
408003250,10034,2022-01-07 15:00:00-08,01:00:00,700,700,397,181
408004286,10034,2022-01-07 16:00:00-08,01:00:00,700,700,408,181
408004847,10034,2022-01-07 17:00:00-08,01:00:00,700,700,407,181
408005517,10034,2022-01-07 18:00:00-08,01:00:00,700,700,274,181
408006551,10034,2022-01-07 19:00:00-08,01:00:00,7,7,166,181
408007152,10034,2022-01-07 20:00:00-08,01:00:00,0,0,159,181
408008039,10034,2022-01-07 21:00:00-08,01:00:00,0,0,335,181
408008999,10034,2022-01-07 22:00:00-08,01:00:00,0,0,133,175
408009450,10034,2022-01-07 23:00:00-08,01:00:00,0,0,67,156
408010082,10034,2022-01-08 00:00:00-08,01:00:00,700,700,64,155
408010630,10034,2022-01-08 01:00:00-08,01:00:00,700,700,53,181
408011480,10034,2022-01-08 02:00:00-08,01:00:00,700,700,40,169
408011956,10034,2022-01-08 03:00:00-08,01:00:00,700,700,22,174
408012733,10034,2022-01-08 04:00:00-08,01:00:00,700,700,20,175
408013198,10034,2022-01-08 05:00:00-08,01:00:00,700,700,19,175
408014005,10034,2022-01-08 06:00:00-08,01:00:00,700,700,34,180
408014798,10034,2022-01-08 07:00:00-08,01:00:00,700,700,36,180
408015198,10034,2022-01-08 08:00:00-08,01:00:00,700,700,64,175
408015996,10034,2022-01-08 09:00:00-08,01:00:00,700,700,108,181
408016460,10034,2022-01-08 10:00:00-08,01:00:00,700,700,170,181
408017224,10034,2022-01-08 11:00:00-08,01:00:00,700,700,205,181
408017706,10034,2022-01-08 12:00:00-08,01:00:00,700,700,261,181
408018323,10034,2022-01-08 13:00:00-08,01:00:00,700,700,284,169
408019294,10034,2022-01-08 14:00:00-08,01:00:00,700,700,318,181
408020003,10034,2022-01-08 15:00:00-08,01:00:00,700,700,389,181
408020564,10034,2022-01-08 16:00:00-08,01:00:00,700,700,390,181
408021167,10034,2022-01-08 17:00:00-08,01:00:00,700,700,287,181
408021793,10034,2022-01-08 18:00:00-08,01:00:00,700,700,206,181
408022396,10034,2022-01-08 19:00:00-08,01:00:00,700,700,168,175
408022905,10034,2022-01-08 20:00:00-08,01:00:00,700,700,155,181
408023514,10034,2022-01-08 21:00:00-08,01:00:00,700,700,247,175
408024015,10034,2022-01-08 22:00:00-08,01:00:00,700,700,129,181
408024324,10034,2022-01-08 23:00:00-08,01:00:00,696,696,86,175
408024864,10034,2022-01-09 00:00:00-08,01:00:00,700,700,88,175
408025459,10034,2022-01-09 01:00:00-08,01:00:00,700,700,37,152
408025770,10034,2022-01-09 02:00:00-08,01:00:00,700,700,48,180
408026498,10034,2022-01-09 03:00:00-08,01:00:00,700,700,37,181
408026909,10034,2022-01-09 04:00:00-08,01:00:00,700,700,15,176
408027454,10034,2022-01-09 05:00:00-08,01:00:00,700,700,13,167
408027976,10034,2022-01-09 06:00:00-08,01:00:00,700,700,26,181
408028258,10034,2022-01-09 07:00:00-08,01:00:00,700,700,32,180
408028832,10034,2022-01-09 08:00:00-08,01:00:00,700,700,47,181
408029316,10034,2022-01-09 09:00:00-08,01:00:00,700,700,91,173
408029908,10034,2022-01-09 10:00:00-08,01:00:00,700,700,141,171
408030410,10034,2022-01-09 11:00:00-08,01:00:00,700,700,186,181
408030842,10034,2022-01-09 12:00:00-08,01:00:00,700,700,213,181
408031361,10034,2022-01-09 13:00:00-08,01:00:00,700,700,299,181
408031858,10034,2022-01-09 14:00:00-08,01:00:00,700,700,343,179
408032195,10034,2022-01-09 15:00:00-08,01:00:00,700,700,262,177
408032932,10034,2022-01-09 16:00:00-08,01:00:00,700,700,257,181
408033456,10034,2022-01-09 17:00:00-08,01:00:00,700,700,192,181
408034496,10034,2022-01-09 18:00:00-08,01:00:00,700,700,254,180
408035061,10034,2022-01-09 19:00:00-08,01:00:00,700,700,146,181
408035622,10034,2022-01-09 20:00:00-08,01:00:00,700,700,173,181
408036268,10034,2022-01-09 21:00:00-08,01:00:00,700,700,100,181
408037106,10034,2022-01-09 22:00:00-08,01:00:00,700,700,36,163
408037569,10034,2022-01-09 23:00:00-08,01:00:00,700,700,43,181
408038425,10034,2022-01-10 00:00:00-08,01:00:00,3,3,23,181
408038976,10034,2022-01-10 01:00:00-08,01:00:00,0,0,19,175
408039561,10034,2022-01-10 02:00:00-08,01:00:00,0,0,24,175
408039929,10034,2022-01-10 03:00:00-08,01:00:00,0,0,8,175
408040653,10034,2022-01-10 04:00:00-08,01:00:00,0,0,19,181
408041459,10034,2022-01-10 05:00:00-08,01:00:00,0,0,33,173
408041956,10034,2022-01-10 06:00:00-08,01:00:00,688,688,90,181
408042777,10034,2022-01-10 07:00:00-08,01:00:00,700,700,184,181
408043495,10034,2022-01-10 08:00:00-08,01:00:00,700,700,198,181
408044260,10034,2022-01-10 09:00:00-08,01:00:00,700,700,163,181
408044759,10034,2022-01-10 10:00:00-08,01:00:00,7,7,180,181
408045579,10034,2022-01-10 11:00:00-08,01:00:00,0,0,233,174
408046198,10034,2022-01-10 12:00:00-08,01:00:00,0,0,250,181
408046738,10034,2022-01-10 13:00:00-08,01:00:00,688,688,263,181
408047343,10034,2022-01-10 14:00:00-08,01:00:00,700,700,317,181
408048138,10034,2022-01-10 15:00:00-08,01:00:00,700,700,399,181
408048633,10034,2022-01-10 16:00:00-08,01:00:00,700,700,410,181
408049421,10034,2022-01-10 17:00:00-08,01:00:00,700,700,446,181
408050195,10034,2022-01-10 18:00:00-08,01:00:00,700,700,226,181
408050502,10034,2022-01-10 19:00:00-08,01:00:00,7,7,135,181
408051288,10034,2022-01-10 20:00:00-08,01:00:00,0,0,91,175
408052034,10034,2022-01-10 21:00:00-08,01:00:00,0,0,165,181
408052450,10034,2022-01-10 22:00:00-08,01:00:00,0,0,69,181
408053165,10034,2022-01-10 23:00:00-08,01:00:00,0,0,52,181
408053961,10034,2022-01-11 00:00:00-08,01:00:00,0,0,29,181
408054191,10034,2022-01-11 01:00:00-08,01:00:00,0,0,17,175
408054856,10034,2022-01-11 02:00:00-08,01:00:00,0,0,14,180
408055557,10034,2022-01-11 03:00:00-08,01:00:00,0,0,13,162
408056117,10034,2022-01-11 04:00:00-08,01:00:00,0,0,21,175
408056543,10034,2022-01-11 05:00:00-08,01:00:00,0,0,26,179
408057221,10034,2022-01-11 06:00:00-08,01:00:00,688,688,93,181
408057885,10034,2022-01-11 07:00:00-08,01:00:00,700,700,206,181
408058814,10034,2022-01-11 08:00:00-08,01:00:00,700,700,221,181
408059524,10034,2022-01-11 09:00:00-08,01:00:00,700,700,169,181
408059909,10034,2022-01-11 10:00:00-08,01:00:00,7,7,195,181
408060868,10034,2022-01-11 11:00:00-08,01:00:00,0,0,210,157
408061294,10034,2022-01-11 12:00:00-08,01:00:00,0,0,263,181
408061838,10034,2022-01-11 13:00:00-08,01:00:00,688,688,262,175
408062429,10034,2022-01-11 14:00:00-08,01:00:00,700,700,293,173
408062957,10034,2022-01-11 15:00:00-08,01:00:00,700,700,380,174
408063965,10034,2022-01-11 16:00:00-08,01:00:00,700,700,393,176
408064533,10034,2022-01-11 17:00:00-08,01:00:00,700,700,384,171
408065262,10034,2022-01-11 18:00:00-08,01:00:00,700,700,266,174
408065978,10034,2022-01-11 19:00:00-08,01:00:00,8,8,136,165
408066446,10034,2022-01-11 20:00:00-08,01:00:00,0,0,106,174
408067069,10034,2022-01-11 21:00:00-08,01:00:00,0,0,105,176
408067704,10034,2022-01-11 22:00:00-08,01:00:00,0,0,58,152
408068221,10034,2022-01-11 23:00:00-08,01:00:00,0,0,50,165
408068991,10034,2022-01-12 00:00:00-08,01:00:00,0,0,21,162
408069516,10034,2022-01-12 01:00:00-08,01:00:00,0,0,20,170
408070304,10034,2022-01-12 02:00:00-08,01:00:00,0,0,15,159
408071052,10034,2022-01-12 03:00:00-08,01:00:00,0,0,13,171
408071495,10034,2022-01-12 04:00:00-08,01:00:00,0,0,13,160
408072253,10034,2022-01-12 05:00:00-08,01:00:00,0,0,38,162
408072748,10034,2022-01-12 06:00:00-08,01:00:00,687,687,84,167
408073410,10034,2022-01-12 07:00:00-08,01:00:00,700,700,194,177
408074110,10034,2022-01-12 08:00:00-08,01:00:00,700,700,214,180
408074520,10034,2022-01-12 09:00:00-08,01:00:00,700,700,203,180
408075347,10034,2022-01-12 10:00:00-08,01:00:00,7,7,191,180
408076293,10034,2022-01-12 11:00:00-08,01:00:00,0,0,238,181
408076816,10034,2022-01-12 12:00:00-08,01:00:00,0,0,291,181
408077458,10034,2022-01-12 13:00:00-08,01:00:00,684,684,284,181
408077937,10034,2022-01-12 14:00:00-08,01:00:00,700,700,296,181
408078540,10034,2022-01-12 15:00:00-08,01:00:00,700,700,390,181
408079375,10034,2022-01-12 16:00:00-08,01:00:00,700,700,380,181
408079951,10034,2022-01-12 17:00:00-08,01:00:00,700,700,426,181
408080235,10034,2022-01-12 18:00:00-08,01:00:00,700,700,269,181
408081001,10034,2022-01-12 19:00:00-08,01:00:00,7,7,167,181
408081839,10034,2022-01-12 20:00:00-08,01:00:00,0,0,136,181
408082721,10034,2022-01-12 21:00:00-08,01:00:00,0,0,94,181
408083314,10034,2022-01-12 22:00:00-08,01:00:00,0,0,52,174
408083912,10034,2022-01-12 23:00:00-08,01:00:00,0,0,56,175
408084341,10034,2022-01-13 00:00:00-08,01:00:00,0,0,32,175
408084932,10034,2022-01-13 01:00:00-08,01:00:00,0,0,16,181
408085751,10034,2022-01-13 02:00:00-08,01:00:00,0,0,18,175
408086360,10034,2022-01-13 03:00:00-08,01:00:00,0,0,6,156
408087169,10034,2022-01-13 04:00:00-08,01:00:00,0,0,19,175
408087470,10034,2022-01-13 05:00:00-08,01:00:00,0,0,26,181
408088297,10034,2022-01-13 06:00:00-08,01:00:00,688,688,98,181
408089091,10034,2022-01-13 07:00:00-08,01:00:00,700,700,198,181
408089739,10034,2022-01-13 08:00:00-08,01:00:00,700,700,217,181
408090094,10034,2022-01-13 09:00:00-08,01:00:00,700,700,159,180
408090854,10034,2022-01-13 10:00:00-08,01:00:00,7,7,198,181
408091432,10034,2022-01-13 11:00:00-08,01:00:00,0,0,266,181
408092081,10034,2022-01-13 12:00:00-08,01:00:00,0,0,265,180
408092718,10034,2022-01-13 13:00:00-08,01:00:00,688,688,264,181
408093458,10034,2022-01-13 14:00:00-08,01:00:00,700,700,297,177
408094404,10034,2022-01-13 15:00:00-08,01:00:00,700,700,449,180
408095006,10034,2022-01-13 16:00:00-08,01:00:00,700,700,436,181
408095558,10034,2022-01-13 17:00:00-08,01:00:00,700,700,429,175
408096487,10034,2022-01-13 18:00:00-08,01:00:00,700,700,256,177
408097052,10034,2022-01-13 19:00:00-08,01:00:00,7,7,142,181
408097837,10034,2022-01-13 20:00:00-08,01:00:00,0,0,137,180
408098406,10034,2022-01-13 21:00:00-08,01:00:00,0,0,110,181
408099128,10034,2022-01-13 22:00:00-08,01:00:00,0,0,71,181
408099860,10034,2022-01-13 23:00:00-08,01:00:00,0,0,65,169
408100726,10034,2022-01-14 00:00:00-08,01:00:00,0,0,32,164
408101132,10034,2022-01-14 01:00:00-08,01:00:00,0,0,24,168
408101786,10034,2022-01-14 02:00:00-08,01:00:00,0,0,20,171
408102337,10034,2022-01-14 03:00:00-08,01:00:00,0,0,14,169
408102716,10034,2022-01-14 04:00:00-08,01:00:00,0,0,17,174
408103504,10034,2022-01-14 05:00:00-08,01:00:00,0,0,39,181
408104365,10034,2022-01-14 06:00:00-08,01:00:00,688,688,71,179
408104933,10034,2022-01-14 07:00:00-08,01:00:00,700,700,148,178
408105830,10034,2022-01-14 08:00:00-08,01:00:00,700,700,176,179
408106276,10034,2022-01-14 09:00:00-08,01:00:00,700,700,157,180
408107000,10034,2022-01-14 10:00:00-08,01:00:00,7,7,217,178
408107407,10034,2022-01-14 11:00:00-08,01:00:00,0,0,270,181
408108036,10034,2022-01-14 12:00:00-08,01:00:00,0,0,354,178
408109016,10034,2022-01-14 13:00:00-08,01:00:00,688,688,340,181
408109668,10034,2022-01-14 14:00:00-08,01:00:00,700,700,332,167
408110142,10034,2022-01-14 15:00:00-08,01:00:00,700,700,325,181
408110794,10034,2022-01-14 16:00:00-08,01:00:00,700,700,348,181
408111680,10034,2022-01-14 17:00:00-08,01:00:00,700,700,371,181
408111992,10034,2022-01-14 18:00:00-08,01:00:00,700,700,271,175
408112651,10034,2022-01-14 19:00:00-08,01:00:00,7,7,187,178
408113281,10034,2022-01-14 20:00:00-08,01:00:00,0,0,164,180
408113814,10034,2022-01-14 21:00:00-08,01:00:00,0,0,319,179
408114381,10034,2022-01-14 22:00:00-08,01:00:00,0,0,159,180
408115100,10034,2022-01-14 23:00:00-08,01:00:00,0,0,130,171
408115842,10034,2022-01-15 00:00:00-08,01:00:00,695,695,209,153
408116226,10034,2022-01-15 01:00:00-08,01:00:00,700,700,127,178
408116869,10034,2022-01-15 02:00:00-08,01:00:00,700,700,55,174
408117499,10034,2022-01-15 03:00:00-08,01:00:00,700,700,27,177
408118062,10034,2022-01-15 04:00:00-08,01:00:00,700,700,15,174
408118802,10034,2022-01-15 05:00:00-08,01:00:00,700,700,23,175
408119145,10034,2022-01-15 06:00:00-08,01:00:00,700,700,30,177
408119746,10034,2022-01-15 07:00:00-08,01:00:00,700,700,60,181
408120352,10034,2022-01-15 08:00:00-08,01:00:00,700,700,91,180
408120948,10034,2022-01-15 09:00:00-08,01:00:00,700,700,146,180
408121472,10034,2022-01-15 10:00:00-08,01:00:00,700,700,173,181
408122049,10034,2022-01-15 11:00:00-08,01:00:00,700,700,245,180
408122445,10034,2022-01-15 12:00:00-08,01:00:00,700,700,286,180
408123013,10034,2022-01-15 13:00:00-08,01:00:00,700,700,273,180
408123888,10034,2022-01-15 14:00:00-08,01:00:00,700,700,361,179
408124459,10034,2022-01-15 15:00:00-08,01:00:00,700,700,295,178
408124718,10034,2022-01-15 16:00:00-08,01:00:00,700,700,310,180
408125549,10034,2022-01-15 17:00:00-08,01:00:00,700,700,298,173
408126129,10034,2022-01-15 18:00:00-08,01:00:00,700,700,233,180
408126667,10034,2022-01-15 19:00:00-08,01:00:00,700,700,164,181
408127204,10034,2022-01-15 20:00:00-08,01:00:00,700,700,187,175
408128027,10034,2022-01-15 21:00:00-08,01:00:00,700,700,175,178
408128840,10034,2022-01-15 22:00:00-08,01:00:00,700,700,143,181
408129344,10034,2022-01-15 23:00:00-08,01:00:00,700,700,126,181
408129916,10034,2022-01-16 00:00:00-08,01:00:00,700,700,70,179
408130616,10034,2022-01-16 01:00:00-08,01:00:00,700,700,74,171
408131335,10034,2022-01-16 02:00:00-08,01:00:00,700,700,60,171
408131856,10034,2022-01-16 03:00:00-08,01:00:00,700,700,26,178
408132263,10034,2022-01-16 04:00:00-08,01:00:00,700,700,18,157
408133090,10034,2022-01-16 05:00:00-08,01:00:00,700,700,12,169
408133634,10034,2022-01-16 06:00:00-08,01:00:00,700,700,24,175
408134008,10034,2022-01-16 07:00:00-08,01:00:00,700,700,32,155
408134521,10034,2022-01-16 08:00:00-08,01:00:00,700,700,42,176
408134843,10034,2022-01-16 09:00:00-08,01:00:00,700,700,105,181
408135678,10034,2022-01-16 10:00:00-08,01:00:00,700,700,124,179
408135985,10034,2022-01-16 11:00:00-08,01:00:00,700,700,150,179
408136813,10034,2022-01-16 12:00:00-08,01:00:00,700,700,211,180
408137506,10034,2022-01-16 13:00:00-08,01:00:00,700,700,318,174
408138020,10034,2022-01-16 14:00:00-08,01:00:00,700,700,272,174
408138716,10034,2022-01-16 15:00:00-08,01:00:00,700,700,259,181
408139239,10034,2022-01-16 16:00:00-08,01:00:00,700,700,276,181
408139700,10034,2022-01-16 17:00:00-08,01:00:00,700,700,163,150
408140478,10034,2022-01-16 18:00:00-08,01:00:00,700,700,164,170
408140911,10034,2022-01-16 19:00:00-08,01:00:00,700,700,139,176
408141703,10034,2022-01-16 20:00:00-08,01:00:00,700,700,121,173
408142165,10034,2022-01-16 21:00:00-08,01:00:00,700,700,96,176
408142726,10034,2022-01-16 22:00:00-08,01:00:00,700,700,72,161
408142909,10034,2022-01-16 23:00:00-08,01:00:00,700,700,45,176
408143133,10034,2022-01-17 00:00:00-08,01:00:00,4,4,29,173
408143884,10034,2022-01-17 01:00:00-08,01:00:00,0,0,23,165
